,BG_SCALE,Q3,MIN,MAX,N_SURG,Q1,PART,Q2,TARGET_SCALE,MAX_QUEUE_LENGTH,AVG
73,0.5,--,,,4,--,0.0,--,0.5,,
74,0.5,--,,,4,--,0.0,--,0.5,,
75,0.5,--,,,4,--,0.0,--,0.5,,
76,0.5,--,,,4,--,0.0,--,0.5,,
77,0.5,--,,,4,--,0.0,--,0.5,,
78,0.5,--,,,4,--,0.0,--,0.5,,
79,0.5,--,,,4,--,0.0,--,0.5,,
80,0.5,--,,,4,--,0.0,--,0.5,,
81,0.5,--,,,4,--,0.0,--,0.5,,
82,0.5,--,,,4,--,0.0,--,0.5,,
83,0.5,--,,,4,--,0.0,--,0.5,,
84,0.5,--,,,4,--,0.0,--,0.5,,
85,0.5,--,,,4,--,0.0,--,0.5,,
86,0.5,--,,,4,--,0.0,--,0.5,,
87,0.5,--,,,4,--,0.0,--,0.5,,
88,0.5,--,,,4,--,0.0,--,0.5,,
89,0.5,--,,,4,--,0.0,--,0.5,,
90,0.5,--,,,4,--,0.0,--,0.5,,
91,0.5,--,,,4,--,0.0,--,0.5,,
92,0.5,--,,,4,--,0.0,--,0.5,,
93,0.5,--,,,4,--,0.0,--,0.5,,
94,0.5,--,,,4,--,0.0,--,0.5,,
95,0.5,--,,,4,--,0.0,--,0.5,,
96,0.5,--,,,5,--,0.0,--,0.5,,
97,0.5,--,,,5,--,0.0,--,0.5,,
98,0.5,--,,,5,--,0.0,--,0.5,,
99,0.5,--,,,5,--,0.0,--,0.5,,
100,0.5,--,,,5,--,0.0,--,0.5,,
101,0.5,--,,,5,--,0.0,--,0.5,,
102,0.5,--,,,5,--,0.0,--,0.5,,
103,0.5,--,,,5,--,0.0,--,0.5,,
104,0.5,--,,,5,--,0.0,--,0.5,,
105,0.5,--,,,5,--,0.0,--,0.5,,
106,0.5,--,,,5,--,0.0,--,0.5,,
107,0.5,--,,,5,--,0.0,--,0.5,,
108,0.5,--,,,5,--,0.0,--,0.5,,
109,0.5,--,,,5,--,0.0,--,0.5,,
110,0.5,--,,,5,--,0.0,--,0.5,,
111,0.5,--,,,5,--,0.0,--,0.5,,
